step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,1,0.1850,0.2968,16.8,61.8
250112,mppi,1,0.1263,0.3217,14.5,212.375
500224,pi,1,0.2562,0.3924,16.4,70.6
500224,mppi,1,0.2586,0.4375,16.125,60.375
750080,pi,1,0.2916,0.3998,18.4,74.0
750080,mppi,1,0.2799,0.4413,16.75,90.125
1000192,pi,1,0.2520,0.4928,16.8,59.8
1000192,mppi,1,0.2620,0.5010,16.875,52.375
1250048,pi,1,0.2906,0.4404,17.4,44.2
1250048,mppi,1,0.2914,0.4323,17.875,50.625
1500160,pi,1,0.3050,0.4428,18.6,44.0
1500160,mppi,1,0.3004,0.4546,18.0,50.0
1750016,pi,1,0.2990,0.4492,17.6,45.2
1750016,mppi,1,0.3041,0.4366,18.0,43.5
2000128,pi,1,0.3126,0.4442,18.2,49.2
2000128,mppi,1,0.3110,0.4364,18.25,44.25
2250240,pi,1,0.2976,0.4334,18.6,32.0
2250240,mppi,1,0.2979,0.4666,18.0,36.75
2500096,pi,1,0.2936,0.4634,17.2,44.8
2500096,mppi,1,0.3158,0.4513,17.875,42.75
2750208,pi,1,0.2900,0.4690,17.8,48.2
2750208,mppi,1,0.2944,0.4733,17.75,41.625
3000064,pi,1,0.2240,0.3706,13.2,249.2
3000064,mppi,1,0.3011,0.4591,17.625,45.875
3250176,pi,1,0.2938,0.4680,17.8,42.0
3250176,mppi,1,0.3021,0.4626,18.0,50.875
3500032,pi,1,0.2812,0.4538,18.4,55.2
3500032,mppi,1,0.3096,0.4629,17.625,37.625
3750144,pi,1,0.2956,0.4370,18.0,49.8
3750144,mppi,1,0.3236,0.3970,18.25,41.125
4000000,pi,1,0.2898,0.4588,16.2,61.0
4000000,mppi,1,0.2159,0.3474,13.0,280.875
4250112,pi,1,0.2956,0.4626,17.4,49.8
4250112,mppi,1,0.2439,0.3200,14.625,47.25
4500224,pi,1,0.2646,0.4234,16.8,48.6
4500224,mppi,1,0.2940,0.4416,17.875,42.625
4750080,pi,1,0.2842,0.4756,16.4,57.6
4750080,mppi,1,0.1653,0.2420,10.0,54.875
5000192,pi,1,0.2942,0.4726,17.0,44.4
5000192,mppi,1,0.1547,0.2273,10.0,45.0
5250048,pi,1,0.1434,0.1720,12.6,435.8
5250048,mppi,1,0.0029,0.0132,1.25,786.625
